id,"name",biliId,grade,"route",pId,"channel_desc"
7,"动画",1,1,"douga",0,NULL
8,"番剧",13,1,"anime",0,NULL
9,"音乐",3,1,"music",0,NULL
10,"国创",167,1,"guochuang",0,NULL
11,"舞蹈",129,1,"dance",0,NULL
12,"游戏",4,1,"game",0,NULL
13,"知识",36,1,"knowledge",0,NULL
14,"科技",188,1,"tech",0,NULL
15,"运动",234,1,"sports",0,NULL
16,"汽车",223,1,"car",0,NULL
17,"生活",160,1,"life",0,NULL
18,"美食",211,1,"food",0,NULL
19,"动物圈",217,1,"animal",0,NULL
20,"鬼畜",119,1,"kichiku",0,NULL
21,"时尚",155,1,"fashion",0,NULL
22,"资讯",202,1,"information",0,NULL
23,"娱乐",5,1,"ent",0,NULL
24,"影视",181,1,"cinephile",0,NULL
25,"纪录片",177,1,"documentary",0,NULL
26,"电影",23,1,"movie",0,NULL
27,"电视剧",11,1,"tv",0,NULL
28,"MAD·AMV",24,2,"/v/douga/mad",1,"具有一定制作程度的动画或静画的二次创作视频"
29,"MMD·3D",25,2,"/v/douga/mmd",1,"使用MMD（MikuMikuDance）和其他3D建模类软件制作的视频"
30,"短片·手书·配音",47,2,"/v/douga/voice",1,"追求创新并具有强烈特色的短片、手书（绘）及ACG相关配音"
31,"手办·模玩",210,2,"/v/douga/garage_kit",1,"手办模玩的测评、改造或其他衍生内容"
32,"综合",27,2,"/v/douga/other",1,"以动画及动画相关内容为素材，包括但不仅限于音频替换、杂谈、排行榜等内容"
33,"特摄",86,2,"/v/douga/tokusatsu",1,"特摄相关衍生视频"
34,"原创音乐",28,2,"/v/music/original",3,"个人或团队制作以音乐为主要原创因素的歌曲或纯音乐"
35,"翻唱",31,2,"/v/music/cover",3,"一切非官方的人声再演绎歌曲作品"
36,"VOCALOID·UTAU",30,2,"/v/music/vocaloid",3,"以雅马哈Vocaloid和UTAU引擎为基础，包含其他调教引擎，运用各类音源进行的歌曲创作内容"
37,"电音",194,2,"/v/music/electronic",3,"以电子合成器、音乐软体等产生的电子声响制作的音乐"
38,"演奏",59,2,"/v/music/perform",3,"传统或非传统乐器及器材的演奏作品"
39,"MV",193,2,"/v/music/mv",3,"音乐录影带，为搭配音乐而拍摄或制作的视频"
40,"音乐现场",29,2,"/v/music/live",3,"音乐实况表演视频"
41,"音乐综合",130,2,"/v/music/other",3,"收录无法定义到其他音乐子分区的音乐视频"
42,"国产动画",153,2,"/v/guochuang/chinese",167,"我国出品的PGC动画"
43,"说唱",NULL,2,"/v/music/undefined",3,NULL
44,"音频",NULL,2,"/v/music/audio",3,NULL
45,"国产原创相关",168,2,"/v/guochuang/original",167,""
46,"布袋戏",169,2,"/v/guochuang/puppetry",167,""
47,"动态漫·广播剧",195,2,"/v/guochuang/motioncomic",167,""
48,"资讯",170,2,"/v/guochuang/information",167,""
49,"宅舞",20,2,"/v/dance/otaku",129,"与ACG相关的翻跳、原创舞蹈"
50,"国产动画索引",NULL,2,"/v/guochuang/undefined",167,""
51,"新番时间表",NULL,2,"/v/guochuang/undefined",167,""
52,"街舞",198,2,"/v/dance/hiphop",129,"收录街舞相关内容，包括赛事现场、舞室作品、个人翻跳、FREESTYLE等"
53,"明星舞蹈",199,2,"/v/dance/star",129,"国内外明星发布的官方舞蹈及其翻跳内容"
54,"中国舞",200,2,"/v/dance/china",129,"传承中国艺术文化的舞蹈内容，包括古典舞、民族民间舞、汉唐舞、古风舞等"
55,"舞蹈综合",154,2,"/v/dance/three_d",129,"收录无法定义到其他舞蹈子分区的舞蹈视频"
56,"舞蹈教程",156,2,"/v/dance/demo",129,"镜面慢速，动作分解，基础教程等具有教学意义的舞蹈视频"
57,"连载动画",33,2,"/v/anime/serial",13,"当季连载的动画番剧"
58,"完结动画",32,2,"/v/anime/finish",13,"已完结的动画番剧合集"
59,"资讯",51,2,"/v/anime/information",13,"动画番剧相关资讯视频"
60,"官方延伸",152,2,"/v/anime/offical",13,"动画番剧为主题的宣传节目、采访视频，及声优相关视频"
61,"新番时间表",NULL,2,"/v/anime/undefined",13,""
62,"番剧索引",NULL,2,"/v/anime/undefined",13,""
63,"单机游戏",17,2,"/v/game/stand_alone",4,"以所有平台（PC、主机、移动端）的单机或联机游戏为主的视频内容，包括游戏预告、CG、实况解说及相关的评测、杂谈与视频剪辑等"
64,"电子竞技",171,2,"/v/game/esports",4,"具有高对抗性的电子竞技游戏项目，其相关的赛事、实况、攻略、解说、短剧等视频。"
65,"手机游戏",172,2,"/v/game/mobile",4,"以手机及平板设备为主要平台的游戏，其相关的实况、攻略、解说、短剧、演示等视频。"
66,"网络游戏",65,2,"/v/game/online",4,"由网络运营商运营的多人在线游戏，以及电子竞技的相关游戏内容。包括赛事、攻略、实况、解说等相关视频"
67,"桌游棋牌",173,2,"/v/game/board",4,"桌游、棋牌、卡牌对战等及其相关电子版游戏的实况、攻略、解说、演示等视频。"
68,"音游",136,2,"/v/game/music",4,"各个平台上，通过配合音乐与节奏而进行的音乐类游戏视频"
69,"GMV",121,2,"/v/game/gmv",4,"由游戏素材制作的MV视频。以游戏内容或CG为主制作的，具有一定创作程度的MV类型的视频"
70,"游戏赛事",NULL,2,"/v/game/undefined",4,NULL
71,"Mugen",19,2,"/v/game/mugen",4,"以Mugen引擎为平台制作、或与Mugen相关的游戏视频"
72,"篮球·足球",235,2,"/v/sports/basketballfootball",234,"与篮球、足球相关的视频，包括但不限于篮足球赛事、教学、评述、剪辑、剧情等相关内容"
73,"健身",164,2,"/v/sports/aerobics",234,"与健身相关的视频，包括但不限于瑜伽、CrossFit、健美、力量举、普拉提、街健等相关内容"
74,"竞技体育",236,2,"/v/sports/athletic",234,"与竞技体育相关的视频，包括但不限于乒乓、羽毛球、排球、赛车等竞技项目的赛事、评述、剪辑、剧情等相关内容"
75,"运动文化",237,2,"/v/sports/culture",234,"与运动文化相关的视频，包络但不限于球鞋、球衣、球星卡等运动衍生品的分享、解读，体育产业的分析、科普等相关内容"
76,"运动综合",238,2,"/v/sports/comprehensive",234,"与运动综合相关的视频，包括但不限于钓鱼、骑行、滑板等日常运动分享、教学、Vlog等相关内容"
77,"数码",95,2,"/v/tech/digital",188,"科技数码产品大全，一起来做发烧友"
78,"软件应用",230,2,"/v/tech/application",188,"超全软件应用指南"
79,"工业·工程·机械",232,2,"/v/tech/industry",188,"前方高能，机甲重工即将出没"
80,"计算机技术",231,2,"/v/tech/computer_tech",188,"研究分析、教学演示、经验分享......有关计算机技术的都在这里"
81,"极客DIY",233,2,"/v/tech/diy",188,"炫酷技能，极客文化，硬核技巧，准备好你的惊讶"
82,"科学科普",201,2,"/v/knowledge/science",36,"回答你的十万个为什么"
83,"社科·法律·心理",124,2,"/v/knowledge/social_science",36,"基于社会科学、法学、心理学展开或个人观点输出的知识视频"
84,"人文历史",228,2,"/v/knowledge/humanity_history",36,"看看古今人物，聊聊历史过往，品品文学典籍"
85,"财经商业",207,2,"/v/knowledge/business",36,"说金融市场，谈宏观经济，一起畅聊商业故事"
86,"校园学习",208,2,"/v/knowledge/campus",36,"老师很有趣，学生也有才，我们一起搞学习"
87,"职业职场",209,2,"/v/knowledge/career",36,"职业分享、升级指南，一起成为最有料的职场人"
88,"设计·创意",229,2,"/v/knowledge/design",36,"天马行空，创意设计，都在这里"
89,"汽车生活",176,2,"/v/car/life",223,"分享汽车及出行相关的生活体验类视频"
90,"野生技能协会",122,2,"/v/knowledge/skill",36,"技能党集合，是时候展示真正的技术了"
91,"汽车文化",224,2,"/v/car/culture",223,"车迷的精神圣地，包括汽车赛事、品牌历史、汽车改装、经典车型和汽车模型等"
92,"汽车极客",225,2,"/v/car/geek",223,"汽车硬核达人聚集地，包括DIY造车、专业评测和技术知识分享"
93,"智能出行",226,2,"/v/car/smart",223,"探索新能源汽车和未来智能出行的前沿阵地"
94,"购车攻略",227,2,"/v/car/strategy",223,"丰富详实的购车建议和新车体验"
95,"搞笑",138,2,"/v/life/funny",160,"各种沙雕有趣的搞笑剪辑，挑战，表演，配音等视频"
96,"家居房产",239,2,"/v/life/home",160,"与买房、装修、居家生活相关的分享"
97,"手工",161,2,"/v/life/handmake",160,"手工制品的制作过程或成品展示、教程、测评类视频"
98,"绘画",162,2,"/v/life/painting",160,"绘画过程或绘画教程，以及绘画相关的所有视频"
99,"日常",21,2,"/v/life/daily",160,"记录日常生活，分享生活故事"
100,"其他",174,2,"/v/life/other",160,"对分区归属不明的视频进行归纳整合的特定分区"
101,"喵星人",218,2,"/v/animal/cat",217,"喵喵喵喵喵"
102,"汪星人",219,2,"/v/animal/dog",217,"汪汪汪汪汪"
103,"大熊猫",220,2,"/v/animal/panda",217,"芝麻汤圆营业中"
104,"爬宠",222,2,"/v/animal/reptiles",217,"鳞甲有灵"
105,"野生动物",221,2,"/v/animal/wild_animal",217,"内有“猛兽”出没"
106,"动物综合",75,2,"/v/animal/animal_composite",217,"收录除上述子分区外，其余动物相关视频以及非动物主体或多个动物主体的动物相关延伸内容"
107,"美食制作",76,2,"/v/food/make",211,"学做人间美味，展示精湛厨艺"
108,"美食侦探",212,2,"/v/food/detective",211,"寻找美味餐厅，发现街头美食"
109,"美食测评",213,2,"/v/food/measurement",211,"吃货世界，品尝世间美味"
110,"田园美食",214,2,"/v/food/rural",211,"品味乡野美食，寻找山与海的味道"
111,"鬼畜调教",22,2,"/v/kichiku/guide",119,"使用素材在音频、画面上做一定处理，达到与BGM一定的同步感"
